frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
100,3.3366700033366703,56.60307,405.27924,384.59363,0.052377056,12.0,30.0,50.0,403.0,372.0,203.0,385.0,203.0,56.60306930541992,-903.2000332832336,0.05237705633044243
101,3.3700367033700367,nan,nan,nan,nan,12.0,30.0,41.0,386.0,nan,nan,382.0,202.0,29.79494285583496,-401.7197748470306,0.029761968413367867
102,3.4034034034034035,nan,nan,nan,nan,nan,nan,nan,nan,299.0,212.0,nan,nan,29.79494285583496,-387.0847460567951,0.029761968413367867
103,3.4367701034367704,2.9868164,394.10056,396.92725,0.0071468805,660.0,29.0,672.0,46.0,299.0,210.0,331.0,229.0,3.9634616374969482,-385.68325707435605,0.04362192400731146
104,3.4701368034701368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.056987762451172,1.4014889824390409,0.04916959519808491
105,3.5035035035035036,4.940107,416.27063,384.2125,0.08009697,12.0,30.0,58.0,20.0,359.0,252.0,368.0,254.0,4.056987762451172,8.018258886337279,0.04916959519808491
106,3.5368702035368704,4.24404,416.58163,392.21072,0.060264938,12.0,30.0,49.0,19.0,361.0,250.0,368.0,254.0,4.592073440551758,8.018258886337279,0.07018095254898071
107,3.570236903570237,nan,nan,nan,nan,12.0,30.0,nan,nan,365.0,255.0,369.0,245.0,4.592073440551758,-5.215280921459198,0.07018095254898071
108,3.6036036036036037,nan,nan,nan,nan,12.0,30.0,49.0,19.0,nan,nan,365.0,255.0,4.244040012359619,nan,0.060264937579631805
109,3.6369703036369705,nan,nan,nan,nan,12.0,30.0,nan,nan,340.0,229.0,366.0,255.0,nan,892.3048557829856,nan
110,3.6703370036703373,nan,nan,nan,nan,12.0,30.0,57.0,414.0,nan,nan,nan,nan,63.79057693481445,nan,0.05872545391321182
111,3.7037037037037037,nan,nan,nan,nan,12.0,30.0,nan,nan,368.0,254.0,374.0,207.0,63.79057693481445,7.832764177322387,0.05872545391321182
112,3.7370704037370706,63.790577,410.51462,387.09464,0.058725454,12.0,30.0,52.0,450.0,368.0,254.0,373.0,206.0,64.31328392028809,7.832764177322387,0.08766427636146545
113,3.7704371037704374,nan,nan,nan,nan,12.0,30.0,nan,nan,358.0,251.0,nan,nan,64.31328392028809,0.0,0.08766427636146545
114,3.803803803803804,64.83599,415.58063,369.79218,0.1166031,12.0,30.0,51.0,451.0,358.0,251.0,368.0,254.0,64.31328392028809,7.832764177322387,0.08766427636146545
115,3.8371705038371706,nan,nan,nan,nan,12.0,30.0,nan,nan,358.0,251.0,368.0,254.0,64.83599090576172,7.832764177322387,0.11660309880971909
116,3.8705372038705375,nan,nan,nan,nan,nan,nan,676.0,47.0,358.0,251.0,363.0,254.0,64.83599090576172,nan,0.11660309880971909
117,3.903903903903904,nan,nan,nan,nan,12.0,30.0,675.0,46.0,nan,nan,362.0,255.0,nan,nan,nan
118,3.9372706039372707,nan,nan,nan,nan,nan,nan,686.0,59.0,298.0,262.0,362.0,255.0,nan,nan,nan
119,3.9706373039706375,nan,nan,nan,nan,686.0,62.0,686.0,59.0,nan,nan,363.0,254.0,nan,nan,nan
120,4.004004004004004,nan,nan,nan,nan,nan,nan,686.0,51.0,358.0,251.0,363.0,254.0,nan,nan,nan
121,4.037370704037371,nan,nan,nan,nan,686.0,51.0,686.0,43.0,nan,nan,nan,nan,nan,nan,nan
122,4.070737404070737,nan,nan,nan,nan,nan,nan,686.0,51.0,358.0,251.0,359.0,254.0,nan,nan,nan
123,4.104104104104104,nan,nan,nan,nan,684.0,46.0,686.0,53.0,nan,nan,357.0,252.0,115.38179016113281,nan,0.07253295928239822
124,4.137470804137471,nan,nan,nan,nan,nan,nan,684.0,46.0,357.0,252.0,363.0,254.0,115.38179016113281,-840.4989899128674,0.07253295928239822
125,4.170837504170838,115.38179,411.97604,383.13998,0.07253296,12.0,30.0,684.0,46.0,359.0,249.0,361.0,252.0,59.2924348115921,-840.4989899128674,0.03789740661159158
126,4.2042042042042045,nan,nan,nan,nan,nan,nan,686.0,53.0,nan,nan,nan,nan,59.2924348115921,286.83400254786017,0.03789740661159158
127,4.237570904237571,3.2030795,381.58386,382.83057,0.003261854,671.0,29.0,684.0,46.0,359.0,249.0,363.0,254.0,78.43384305636089,10.001508865356444,0.054671962124605976
128,4.270937604270938,nan,nan,nan,nan,nan,nan,684.0,46.0,359.0,249.0,363.0,254.0,59.959869503974915,-572.6229149124026,0.04574146354570985
129,4.3043043043043046,116.71666,413.22906,378.3137,0.08822107,12.0,30.0,686.0,43.0,359.0,249.0,372.0,239.0,40.22076898813248,-308.1017962306737,0.031154877894247573
130,4.337671004337671,nan,nan,nan,nan,nan,nan,686.0,53.0,nan,nan,363.0,255.0,39.39918907483419,-12.311375000774824,0.030708206662287314
131,4.371037704371038,0.74256796,411.25418,410.44,0.0019817066,684.0,46.0,686.0,51.0,299.0,258.0,363.0,256.0,39.39918907483419,-3.732873802185058,0.030708206662287314
132,4.404404404404405,0.7383397,413.8321,413.03754,0.0019218402,684.0,46.0,686.0,51.0,293.0,258.0,363.0,256.0,39.150081713994346,-3.732873802185058,0.029729024041444063
133,4.437771104437771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.150081713994346,19.52897996395826,0.029729024041444063
134,4.471137804471138,115.96934,408.20828,374.81863,0.085283525,12.0,30.0,676.0,45.0,358.0,245.0,360.0,245.0,40.453316946824394,317.0934468197822,0.05658227213037511
135,4.504504504504505,nan,nan,nan,nan,12.0,30.0,nan,nan,359.0,249.0,nan,nan,60.310805559158325,15.920892916023659,0.08391248807311058
